CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
24001001600,Maryland,Allegany County,0,1766,720,0,111.0,6.29,0,0,0,0,0,0,17.6,80125.0,0,0,0,0,0,0,0,0,,,,,,,1766.0,100.0,517.0,29.28,317.0,17.95,410.0,23.22,1697.0,96.09,23.0,1.3,20.0,1.13,0.0,0.0,3.0,0.17,23.0,1.3,33.0,1.87,58.0,8.09,109.0,15.17,1675.0,94.86,491.0,27.78,302.0,17.11,399.0,22.62,1609.0,91.11,22.0,1.24,19.0,1.08,0.0,0.0,3.0,0.17,22.0,1.26,24.0,1.34,54.0,7.56,102.0,14.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.0,317.0,410.0,1697.0,23.0,20.0,0.0,3.0,23.0,33.0,56.0,105.0
24001001700,Maryland,Allegany County,1,4818,2098,0,148.0,3.07,1,1,1,0,0,1,17.1,57453.0,1,1,1,1,1,0,0,0,571.0,3153.0,571.0,121.0,1098.0,121.0,3153.0,65.45,1098.0,22.79,505.0,10.48,494.0,10.26,2947.0,61.16,114.0,2.37,42.0,0.87,2.0,0.04,2.0,0.04,46.0,0.96,32.0,0.66,73.0,3.49,201.0,9.6,571.0,11.85,121.0,2.52,94.0,1.96,138.0,2.86,556.0,11.54,2.0,0.05,4.0,0.09,0.0,0.0,0.0,0.01,8.0,0.16,1.0,0.01,3.0,0.16,37.0,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1738.0,793.0,989.0,4556.0,133.0,58.0,4.0,2.0,65.0,57.0,101.0,296.0
24001001800,Maryland,Allegany County,1,5411,1657,0,1951.0,36.06,1,1,1,1,1,1,26.3,64394.0,1,1,1,1,1,0,0,1,3813.0,5411.0,3813.0,2043.0,3062.0,2043.0,5411.0,100.0,3062.0,56.59,461.0,8.52,419.0,7.74,4159.0,76.86,993.0,18.35,96.0,1.77,5.0,0.09,13.0,0.24,145.0,2.68,128.0,2.37,313.0,18.86,217.0,13.12,3813.0,70.46,2043.0,37.75,373.0,6.89,316.0,5.84,2865.0,52.94,765.0,14.14,76.0,1.4,3.0,0.05,7.0,0.13,97.0,1.78,86.0,1.59,139.0,8.37,130.0,7.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1288.0,461.0,419.0,4159.0,993.0,96.0,5.0,13.0,145.0,128.0,247.0,191.0
24001001900,Maryland,Allegany County,0,2623,1034,0,0.0,0.0,0,0,0,0,0,1,10.8,67829.0,0,0,0,0,0,0,0,0,,,,,,,2623.0,100.0,686.0,26.16,580.0,22.11,465.0,17.73,2590.0,98.74,1.0,0.04,9.0,0.34,0.0,0.0,0.0,0.0,23.0,0.88,11.0,0.42,35.0,3.42,186.0,18.03,2621.0,99.91,686.0,26.14,580.0,22.1,465.0,17.72,2588.0,98.65,1.0,0.04,9.0,0.34,0.0,0.0,0.0,0.0,23.0,0.88,11.0,0.42,35.0,3.42,186.0,18.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,763.0,580.0,465.0,2590.0,1.0,9.0,0.0,0.0,23.0,11.0,37.0,194.0
24001002000,Maryland,Allegany County,0,5552,2297,0,3.0,0.05,0,0,0,0,0,1,16.2,56319.0,0,0,0,0,0,0,0,0,,,,,,,4694.0,84.55,1510.0,27.2,1043.0,18.78,832.0,14.99,4532.0,81.62,36.0,0.65,42.0,0.75,0.0,0.0,11.0,0.2,74.0,1.34,35.0,0.62,94.0,4.09,392.0,17.07,2650.0,47.74,864.0,15.55,603.0,10.86,466.0,8.4,2557.0,46.06,14.0,0.24,24.0,0.44,0.0,0.0,3.0,0.05,52.0,0.94,19.0,0.33,51.0,2.21,217.0,9.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1776.0,1204.0,1022.0,5370.0,40.0,43.0,0.0,12.0,87.0,43.0,110.0,463.0
24001002100,Maryland,Allegany County,1,3466,1400,0,64.0,1.85,1,1,1,1,1,1,17.3,56842.0,1,1,1,1,1,0,0,1,3466.0,3466.0,3466.0,1204.0,1204.0,1204.0,3466.0,100.0,1204.0,34.74,732.0,21.12,727.0,20.98,3409.0,98.36,16.0,0.46,6.0,0.17,1.0,0.03,1.0,0.03,33.0,0.95,13.0,0.38,153.0,10.92,237.0,16.96,3466.0,100.0,1204.0,34.74,732.0,21.12,727.0,20.98,3409.0,98.36,16.0,0.46,6.0,0.17,1.0,0.03,1.0,0.03,33.0,0.95,13.0,0.38,153.0,10.92,237.0,16.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1077.0,732.0,727.0,3409.0,16.0,6.0,1.0,1.0,33.0,13.0,146.0,228.0
24001002200,Maryland,Allegany County,0,3874,1614,0,111.0,2.87,0,0,0,1,1,1,13.8,54167.0,0,0,0,0,0,0,0,1,,,,,,,3848.0,99.33,1403.0,36.22,715.0,18.46,916.0,23.66,3787.0,97.74,18.0,0.48,7.0,0.18,1.0,0.03,0.0,0.0,35.0,0.9,20.0,0.52,162.0,10.05,359.0,22.22,3550.0,91.64,1298.0,33.51,655.0,16.92,860.0,22.19,3503.0,90.42,17.0,0.45,6.0,0.15,0.0,0.0,0.0,0.0,24.0,0.61,20.0,0.52,150.0,9.3,331.0,20.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1449.0,721.0,921.0,3812.0,19.0,7.0,1.0,0.0,35.0,20.0,170.0,367.0
24003701101,Maryland,Anne Arundel County,1,4151,1567,0,0.0,0.0,0,0,0,0,0,0,3.6,146000.0,1,1,1,1,1,0,0,0,2903.0,3795.0,2903.0,286.0,415.0,286.0,3795.0,91.41,415.0,10.0,926.0,22.32,526.0,12.66,3539.0,85.26,88.0,2.12,86.0,2.08,1.0,0.02,13.0,0.31,67.0,1.61,89.0,2.13,10.0,0.67,41.0,2.62,2903.0,69.94,286.0,6.88,724.0,17.43,348.0,8.39,2713.0,65.37,76.0,1.83,57.0,1.38,0.0,0.0,8.0,0.2,49.0,1.17,68.0,1.64,0.0,0.0,31.0,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.0,999.0,611.0,3864.0,95.0,95.0,1.0,16.0,80.0,102.0,19.0,43.0
24003701102,Maryland,Anne Arundel County,1,7508,2970,0,100.0,1.33,0,0,0,0,0,0,11.5,96680.0,0,1,0,1,0,0,0,0,180.0,2776.0,180.0,30.0,473.0,30.0,2776.0,36.97,473.0,6.3,489.0,6.51,442.0,5.89,2481.0,33.04,75.0,1.0,49.0,0.66,1.0,0.01,9.0,0.12,160.0,2.13,162.0,2.16,3.0,0.11,40.0,1.33,180.0,2.4,30.0,0.4,29.0,0.38,39.0,0.52,164.0,2.18,0.0,0.0,4.0,0.05,0.0,0.0,0.0,0.0,12.0,0.16,16.0,0.22,0.0,0.0,3.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1638.0,1503.0,980.0,6602.0,185.0,132.0,1.0,27.0,561.0,676.0,31.0,114.0
24003701200,Maryland,Anne Arundel County,1,8298,3107,0,0.0,0.0,0,0,0,0,0,0,2.4,141981.0,1,1,1,1,1,0,0,0,4211.0,6168.0,4211.0,325.0,478.0,325.0,6168.0,74.33,478.0,5.76,1511.0,18.2,722.0,8.7,5798.0,69.87,118.0,1.43,59.0,0.71,1.0,0.01,31.0,0.38,161.0,1.94,184.0,2.22,5.0,0.15,67.0,2.16,4211.0,50.75,325.0,3.92,1029.0,12.4,507.0,6.11,3927.0,47.33,101.0,1.22,37.0,0.44,1.0,0.01,22.0,0.26,123.0,1.49,140.0,1.69,0.0,0.0,46.0,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667.0,1996.0,927.0,7790.0,144.0,83.0,1.0,34.0,246.0,266.0,35.0,89.0
24003701300,Maryland,Anne Arundel County,0,7906,2725,0,21.0,0.27,0,0,0,0,1,0,6.3,145243.0,0,0,0,0,0,0,0,1,,,,,,,7870.0,99.54,803.0,10.15,1887.0,23.87,1133.0,14.33,6920.0,87.53,631.0,7.98,84.0,1.07,8.0,0.1,24.0,0.3,203.0,2.57,229.0,2.89,103.0,3.78,194.0,7.11,7783.0,98.45,797.0,10.09,1857.0,23.49,1123.0,14.21,6843.0,86.56,625.0,7.9,81.0,1.02,8.0,0.1,24.0,0.3,202.0,2.56,228.0,2.88,103.0,3.76,192.0,7.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815.0,1900.0,1137.0,6952.0,633.0,86.0,8.0,24.0,203.0,229.0,108.0,196.0
24003701400,Maryland,Anne Arundel County,0,3575,1256,0,15.0,0.42,0,0,0,0,0,0,8.2,141750.0,0,0,0,0,0,0,0,0,,,,,,,3528.0,98.7,445.0,12.44,837.0,23.4,532.0,14.87,2905.0,81.26,484.0,13.54,34.0,0.96,0.0,0.0,8.0,0.22,97.0,2.72,103.0,2.87,17.0,1.38,96.0,7.66,2883.0,80.64,388.0,10.85,586.0,16.38,499.0,13.95,2322.0,64.96,453.0,12.68,19.0,0.54,0.0,0.0,7.0,0.2,81.0,2.27,91.0,2.55,15.0,1.22,82.0,6.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.0,851.0,535.0,2947.0,487.0,35.0,0.0,8.0,98.0,103.0,17.0,96.0
24003702100,Maryland,Anne Arundel County,1,6722,2609,0,0.0,0.0,0,0,0,0,0,0,9.0,139934.0,1,1,1,1,1,0,0,0,5867.0,6722.0,5867.0,816.0,939.0,816.0,6722.0,100.0,939.0,13.96,1392.0,20.71,905.0,13.46,6191.0,92.1,251.0,3.73,63.0,0.94,9.0,0.13,15.0,0.22,193.0,2.87,159.0,2.37,28.0,1.08,59.0,2.28,5867.0,87.29,816.0,12.14,1209.0,17.99,799.0,11.89,5371.0,79.9,248.0,3.69,56.0,0.84,8.0,0.12,15.0,0.22,170.0,2.53,136.0,2.03,23.0,0.87,52.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945.0,1392.0,905.0,6191.0,251.0,63.0,9.0,15.0,193.0,159.0,30.0,60.0
